행정동_코드,행정동_코드_명,총_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,2030_유동인구,2030_유동인구비율
11305534,삼양동,11149774.25,1359409.5,1391757.75,2751167.25,0.2467464531849154
11305535,미아동,7761570.0,1388312.0,1048655.0,2436967.0,0.31397861515131603
11305545,송중동,11641666.25,1561977.0,1537416.0,3099393.0,0.26623276543424357
11305555,송천동,10740467.25,1164143.0,1276564.25,2440707.25,0.2272440475064062
11305575,삼각산동,2999863.5,271531.5,317617.5,589149.0,0.1963919358330804
11305595,번1동,6527570.5,1240644.25,954763.0,2195407.25,0.336328385882619
11305603,번2동,2747258.5,333317.25,343795.0,677112.25,0.24646834289529
11305608,번3동,3133813.75,307189.5,346746.5,653936.0,0.20867098435572312
11305615,수유1동,5756902.25,839054.5,742746.25,1581800.75,0.27476595594444914
11305625,수유2동,5223599.0,701500.5,612251.25,1313751.75,0.25150317817275025
11305635,수유3동,9418944.0,2013960.75,1406790.0,3420750.75,0.363177735211081
11305645,우이동,3834373.5,543991.75,464047.75,1008039.5,0.26289548996726586
11305660,인수동,8105140.5,970298.75,966105.5,1936404.25,0.23891063331968151
11320511,창1동,3516314.75,456441.5,507488.0,963929.5,0.2741306079041986
11320512,창2동,10733855.25,1510388.0,1565711.0,3076099.0,0.28657913940100876
11320513,창3동,3485485.75,369977.75,379200.0,749177.75,0.21494213539676643
11320514,창4동,3586743.75,424358.75,475008.0,899366.75,0.2507474223660388
11320515,창5동,3776961.75,480538.5,547342.75,1027881.25,0.2721449985560484
11320521,도봉1동,3707496.25,357644.25,423864.5,781508.75,0.21079151462391904
11320522,도봉2동,3081511.75,302594.5,399736.75,702331.25,0.22791775822370303
11320660,쌍문1동,4582060.5,717762.25,528929.25,1246691.5,0.27208097754274524
11320670,쌍문2동,4362104.0,511089.25,602352.75,1113442.0,0.2552534281621896
11320680,쌍문3동,5397132.5,749898.25,760864.75,1510763.0,0.2799195684004423
11320681,쌍문4동,2391935.75,209977.0,274281.75,484258.75,0.20245474820968748
11320690,방학1동,6462037.75,744856.25,804646.0,1549502.25,0.23978539122585596
11320700,방학2동,2653096.75,259423.75,297711.5,557135.25,0.2099943207875853
11320710,방학3동,3256078.75,275966.5,345241.25,621207.75,0.19078400668288506
11350560,월계1동,4534764.0,1104672.75,522790.25,1627463.0,0.35888593099883476
11350570,월계2동,3653399.0,404907.75,422677.0,827584.75,0.2265246007895661
11350580,월계3동,2402464.5,270058.25,344332.75,614391.0,0.2557336435148157
11350595,공릉1동,10197529.25,1953910.5,1381664.25,3335574.75,0.32709636503371636
11350600,공릉2동,8247482.25,1648210.0,1054020.75,2702230.75,0.3276431119327356
11350611,하계1동,3607974.25,544939.5,383045.0,927984.5,0.25720374805890034
11350612,하계2동,2482761.0,287150.0,328656.25,615806.25,0.24803283521853292
11350619,중계본동,3816486.5,366436.0,251610.0,618046.0,0.1619410942499076
11350621,중계1동,3773250.25,360997.5,279292.5,640290.0,0.16969189891394032
11350624,중계4동,2831815.75,312838.25,275650.75,588489.0,0.20781330847531307
11350625,중계2?3동,4332230.0,458933.25,548622.5,1007555.75,0.23257208181467742
11350630,상계1동,6781890.25,706394.5,822755.75,1529150.25,0.22547552284556655
11350640,상계2동,10133741.5,1540922.0,1343765.75,2884687.75,0.2846616671640973
11350665,상계3?4동,8335692.0,855406.25,920502.25,1775908.5,0.2130487186906618
11350670,상계5동,5482254.5,626003.25,623120.25,1249123.5,0.22784850648578975
11350695,상계6?7동,6258197.0,840232.0,922989.0,1763221.0,0.2817458446897725
11350700,상계8동,982329.75,95099.5,168308.0,263407.5,0.2681457015834042
11350710,상계9동,1777642.25,179146.75,244736.75,423883.5,0.23845264703851407
11350720,상계10동,1913035.0,262720.25,297229.5,559949.75,0.292702302885206
11380510,녹번동,6369595.0,806958.75,1041385.5,1848344.25,0.2901823820823773
11380520,불광1동,5331185.25,660001.5,778072.5,1438074.0,0.2697475200284965
11380530,불광2동,5293673.25,701608.75,752478.5,1454087.25,0.27468398243129194
11380551,갈현1동,5350503.5,793225.5,825529.5,1618755.0,0.3025425551071969
11380552,갈현2동,5774351.0,781006.75,766031.75,1547038.5,0.2679155631515992
11380560,구산동,5413255.75,638022.0,683389.75,1321411.75,0.24410665429949435
11380570,대조동,12893379.0,1838459.25,2305536.25,4143995.5,0.32140492418628197
11380580,응암1동,5168038.75,708714.5,841268.75,1549983.25,0.2999171107221284
11380590,응암2동,3843262.0,307648.0,561343.5,868991.5,0.22610779592960356
11380600,응암3동,7669971.75,1013528.25,1147388.25,2160916.5,0.28173721761100357
11380625,역촌동,11259391.25,1442851.5,1638888.5,3081740.0,0.27370396245889406
11380631,신사1동,5963699.0,745524.25,897076.5,1642600.75,0.27543320848352676
11380632,신사2동,2643608.75,294785.25,380791.75,675577.0,0.2555510530822687
11380640,증산동,2935481.25,361078.0,454148.0,815226.0,0.2777145996078156
11380650,수색동,2587829.5,326235.5,512424.75,838660.25,0.3240786342376884
11380690,진관동,6731113.75,688100.0,732959.75,1421059.75,0.2111180709135988
11410520,천연동,3295904.0,403632.5,449531.25,853163.75,0.2588557646096488
11410555,북아현동,22888194.25,3587105.0,4767784.0,8354889.0,0.3650305003855863
11410565,충현동,10903191.5,1750564.25,2164261.0,3914825.25,0.3590531497130909
11410585,신촌동,10491431.75,4906739.25,1672376.0,6579115.25,0.6270941285015746
11410615,연희동,8747067.0,2010061.75,1398511.0,3408572.75,0.3896817927655064
