행정동_코드,행정동_코드_명,당월_매출_금액,당월_매출_건수,총매출건수,2030_매출건수,피크타임_매출비중,시간대추천,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,집계_기간수,분기별_매출안정성,2030_매출비율,객단가,새벽_매출비중,오전_매출비중,점심_매출비중,오후_매출비중,저녁_매출비중,심야_매출비중
11140570,필동,3986568929.25,588464.75,538842.25,305082.75,0.47253186238872746,11~14,8905.25,164239.25,140843.5,91450.25,89740.75,43663.25,45491652.75,902949267.75,890805246.75,584073762.25,570449211.75,329183596.0,13696639.0,665432466.0,1882505816.25,834018965.25,528754710.0,62160332.75,4,0.8975792855007024,0.5661819391482387,6774.524607038909,0.003435696019076929,0.16691859034911732,0.4722120323664287,0.20920721052398947,0.13263403176612715,0.015592438975260445
11140580,장충동,1459514889.75,71632.0,67080.0,37710.25,0.43682083775165126,11~14,838.0,16718.75,20991.5,13098.0,9315.0,6118.75,5389642.5,108683934.0,145690021.0,99613334.0,70161255.75,65844856.75,4282.0,78031567.25,257801726.5,166650212.75,600070105.5,356956995.75,4,0.9373260949427425,0.5621683064997018,20375.179944019434,2.9338515352409064e-06,0.05346404329137472,0.17663521510504002,0.11418192025334217,0.4111435311240887,0.24457235637461916
11140590,광희동,3230979688.0,436937.0,410001.75,217823.75,0.34450043300587513,11~14,3558.0,85488.0,132335.75,78652.0,65269.5,44698.5,35242314.25,653514680.25,854387215.25,576973704.0,453487232.5,332665169.5,46720736.0,445498043.75,1107830683.75,854440748.5,636554102.25,139935373.75,4,0.9413579178202267,0.5312751713864636,7394.612239293079,0.014460238228523336,0.13788326971060796,0.3428776379698491,0.2644525286474039,0.19701581678590857,0.043310508657707164
11140605,을지로동,5384733905.75,647028.5,596776.25,286605.25,0.3858957818459581,11~14,2982.0,110109.25,176496.0,144162.0,114332.5,48694.5,29040654.0,1087199754.5,1405475249.5,962121248.25,717472443.5,358658681.5,3321022.5,824311223.25,2076706981.0,1025154325.5,1140317585.0,314922768.5,4,0.9543797483905279,0.4802557910104499,8322.251501672647,0.0006167477461520802,0.15308300051183082,0.3856656647011698,0.19038161280454466,0.21176860453258992,0.05848436970371273
11140615,신당동,1016539222.75,224482.25,217082.75,122143.25,0.24870035064125848,11~14,3776.75,51262.75,70880.5,42988.75,35049.0,13125.0,14656874.75,204991508.5,321077788.5,191472191.5,152676846.25,63884868.0,93946935.75,192485958.25,252793124.75,137029138.0,198703013.25,141581052.75,4,0.9013622763665347,0.5626575580049543,4528.372389130989,0.09241840712830478,0.18935418716975425,0.24868014838240043,0.13479965645526293,0.19547008989230857,0.13927751097196903
11140625,다산동,284281403.5,36023.0,33521.25,16029.0,0.33837715568916865,11~14,234.0,5928.75,10100.25,6314.75,6612.25,4331.25,1420148.75,36860292.25,71198410.75,48133312.5,55624122.75,45401680.25,0.0,34921085.25,96048803.5,73470483.25,72528456.75,7312574.75,4,0.931318036517775,0.47817429242644593,7891.66375648891,0.0,0.12283985100699701,0.3378652360564978,0.25844280471902203,0.2551290934160595,0.02572301480142369
11140635,약수동,373509409.0,45798.0,44720.5,22381.0,0.3925666240100118,11~14,529.0,8875.25,13505.75,7700.75,7699.75,6410.0,3188341.25,69393992.75,110156671.75,56423351.25,61609658.75,58772388.25,507654.0,39534912.75,146471520.0,91676681.5,76014714.25,19303926.5,4,0.9318304032660905,0.5004639930233338,8155.5834097558845,0.0013591464840447967,0.10584716689158424,0.39214947862263894,0.24544677936078446,0.20351485777430575,0.05168257086664181
11140645,청구동,301501209.75,34531.0,33425.0,17859.25,0.3555757050789208,11~14,248.75,6339.5,11519.75,6578.5,5968.75,2769.75,1197584.25,53102281.75,100967786.5,57638440.75,52505086.0,24768522.0,0.0,28428149.75,106843488.5,91344404.75,69893881.25,4991285.5,4,0.9386796464770818,0.5343081525804039,8731.319966117402,0.0,0.09428867556973376,0.3543716742914329,0.30296530095431895,0.2318195714967608,0.01655477768775354
11140650,신당5동,88095588.75,11256.0,10980.0,6072.5,0.29933403268040387,17~21,63.75,3125.0,2947.5,1560.25,1395.75,1887.75,478795.25,20169622.75,20607457.0,11249510.5,12557108.5,15643099.75,43964.25,11937191.0,23205089.5,23806027.75,24811639.75,4291676.5,4,0.957354148516478,0.5530510018214936,7826.5448427505335,0.0004990516622207148,0.1355027098334705,0.2634080755831262,0.2702295096472694,0.2816445193460382,0.04871613392787502
11140665,동화동,173771097.5,19470.0,19026.75,9586.75,0.3106562078655478,11~14,105.5,3826.75,5760.0,2747.75,4311.75,2275.0,758760.0,36539694.5,47768133.75,19485423.25,34686498.5,28744316.25,1108989.5,18733363.0,53205412.5,51946616.75,45740191.75,3036524.0,4,0.9122043691231393,0.5038564126821449,8925.069209039548,0.006381898462717599,0.10780482640388457,0.30618102357326715,0.2989370355447056,0.26322094069757485,0.017474275317850254
