행정동_코드,행정동_코드_명,업종_코드,업종명,업종_라벨,당월_매출_금액,당월_매출_건수,총매출건수,2030_매출건수,피크타임_매출비중,시간대추천,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,집계_기간수,분기별_매출안정성,2030_매출비율,객단가,새벽_매출비중,오전_매출비중,점심_매출비중,오후_매출비중,저녁_매출비중,심야_매출비중
11560630,신길1동,CS100006,패스트푸드점,패스트푸드,183420338.75,10289.5,9886.75,5297.5,0.5313154827235957,17~21,98.5,2213.0,3084.5,1703.5,1751.25,1036.0,1465489.5,31023430.75,65757066.25,26741277.0,28425593.0,17103030.25,1450333.25,1650661.5,32349248.0,30743931.0,97557097.5,19669067.5,4,0.9505883615004813,0.5358181404404885,17825.971986005152,0.007907156097758543,0.008999337321308922,0.17636674438864539,0.16761462338101804,0.5318772071017124,0.10723493170955667
11560680,신길6동,CS100006,패스트푸드점,패스트푸드,17707410.0,1169.25,1159.0,512.0,0.5806909069874546,17~21,14.5,213.5,298.5,167.0,281.0,184.5,188316.5,3215461.5,4380861.0,2632616.25,4430937.75,2485040.0,0.0,0.0,2564248.25,3788781.0,9987500.75,1366880.0,4,0.7785386884734399,0.44176013805004316,15144.246311738294,0.0,0.0,0.1448121577350951,0.21396584819575534,0.564029451512107,0.0771925425570425
11560690,신길7동,CS100006,패스트푸드점,패스트푸드,850233900.0,80214.75,79209.25,39821.25,0.37106322111784895,17~21,1266.75,15841.0,23980.25,13705.0,14773.0,9643.25,12920525.75,138309343.75,241357422.75,159207392.5,163628871.75,88797766.75,0.0,41572619.25,255237507.0,151050202.0,315885063.0,86488508.75,4,0.9198521121187345,0.5027348447308868,10599.470795583107,0.0,0.04889550892995445,0.3001968129005442,0.17765723290967345,0.3715272503248812,0.10172319493494672
11560700,대림1동,CS100006,패스트푸드점,패스트푸드,91036887.0,3476.0,3373.25,1041.25,0.402940762228167,17~21,22.25,374.0,667.25,661.25,931.75,716.75,483607.75,7984628.25,15642172.0,15441886.5,28272194.25,16233502.75,0.0,1359977.75,19124338.5,17186188.0,34963540.0,18402842.75,4,0.9325139582994765,0.3086785740754465,26190.128596087456,0.0,0.014938754990600678,0.21007241273529048,0.18878268541849416,0.38405904630724025,0.20214710054837443
11560710,대림2동,CS100006,패스트푸드점,패스트푸드,158537197.25,14392.5,14213.0,6273.75,0.37131570815385845,11~14,301.25,2464.5,3809.25,3045.5,2395.25,2197.25,3578635.75,24762150.25,41427155.5,33544966.0,27900255.75,22134520.25,0.0,9011271.25,58806640.0,37799411.0,48626517.75,4293357.25,4,0.927579953339924,0.44140927320059103,11015.264703838804,0.0,0.05684010696738869,0.3709327591257136,0.23842613377599622,0.3067199281523819,0.027081071978519538
11560720,대림3동,CS100006,패스트푸드점,패스트푸드,42427858.5,2152.5,2063.0,814.5,0.5831968245942672,17~21,5.25,286.0,528.5,488.0,485.75,269.5,77187.25,6723507.0,10479002.25,7629002.5,8889990.5,4324779.25,339556.0,330415.5,5565995.25,5292920.25,24906286.0,5992685.5,4,0.9546302051772438,0.39481337857489096,19710.96794425087,0.00800313784397108,0.007787701564056079,0.13118727757612372,0.12475105831702536,0.5870267055783642,0.1412441191204595
11590510,노량진1동,CS100006,패스트푸드점,패스트푸드,1236715211.75,148525.0,148386.25,89595.25,0.32962955448140996,17~21,2416.5,45879.75,43715.5,17124.75,25933.25,13316.5,19738329.25,369406416.25,359220447.0,146129508.5,229719438.25,105103229.25,53138087.5,122964346.75,343067024.75,158313911.5,407720876.75,151510964.5,4,0.9520599511535662,0.6037975216706399,8326.646771587275,0.04296711724343355,0.09942818328885976,0.2774017991292812,0.12801161495861257,0.32968048979769493,0.12251079558211798
11590520,노량진2동,CS100006,패스트푸드점,패스트푸드,66814014.0,6970.5,6894.25,3678.25,0.364137818462314,17~21,113.75,1523.0,2155.25,971.75,1374.5,756.0,929274.75,13752906.0,20048304.5,9618129.75,13475724.75,7108262.5,3480681.25,3650086.0,15712188.0,7927093.0,24297598.25,11746367.5,4,0.926202283009013,0.5335243137397107,9585.2541424575,0.05209507768834245,0.05463054502308453,0.23516306025259912,0.11864416647681128,0.3636602083209669,0.1758069422381957
11590530,상도1동,CS100006,패스트푸드점,패스트푸드,1232800229.0,92170.25,90018.0,41416.5,0.42736467066968903,17~21,2100.5,22402.0,19014.5,16694.0,20210.25,9596.75,20387440.75,230115971.75,218727516.0,210071109.0,282120785.5,153425474.5,8993515.25,39422447.25,335754079.75,222688146.75,525244136.75,100697903.25,4,0.8776184617452847,0.46009131507031925,13375.251005611897,0.007295192715282989,0.031977968792217024,0.27235076036800443,0.1806360361651101,0.4260577864882924,0.08168225547109303
11590540,상도2동,CS100006,패스트푸드점,패스트푸드,17139642.75,1267.5,1219.5,477.25,0.5057918329921737,17~21,2.0,156.25,321.0,236.5,261.25,242.5,7959.25,1442746.5,3660668.75,4001116.75,2924860.25,3295265.25,947206.25,20097.5,1704300.75,1853013.0,8740628.25,3874397.0,4,0.8296418630285048,0.39134891348913486,13522.400591715976,0.0552640602733683,0.0011725740316261843,0.09943618865684933,0.10811269680635555,0.5099656029878452,0.2260488772439554
11590550,상도3동,CS100006,패스트푸드점,패스트푸드,29143393.0,1621.25,1601.0,432.5,0.560647014874897,17~21,5.75,124.75,307.75,409.75,428.0,325.0,42993.5,2244511.75,5025785.75,6968858.5,8523800.75,5379794.0,92212.0,48571.5,3611525.75,4693772.5,16311309.0,4386002.25,4,0.897782019654099,0.2701436602123673,17975.878488820355,0.003164079076173457,0.0016666384727406312,0.12392262458938806,0.16105785966651173,0.5596914882217043,0.15049730997348182
11590560,상도4동,CS100006,패스트푸드점,패스트푸드,47562819.0,2501.5,2404.25,707.25,0.5177828003793464,17~21,11.5,252.5,454.75,512.0,693.25,480.25,101541.75,3386636.75,6816648.0,9446007.5,12334899.0,8562337.5,136550.5,262324.75,8032022.25,8546875.0,24393602.25,6191444.25,4,0.925283524349193,0.29416658001455753,19013.719368378974,0.0028709505212464385,0.005515332259847761,0.16887187132453188,0.17969656087878222,0.5128712461303019,0.13017403888528978
11590605,흑석동,CS100006,패스트푸드점,패스트푸드,408738364.25,38301.25,37369.5,19534.0,0.36499718335563286,17~21,1161.25,12696.5,6837.5,5592.25,8348.75,2733.25,10389791.25,122197656.5,69929106.25,58601388.0,87703852.0,28961170.0,5429911.0,28754150.5,121410202.5,70578592.5,149694140.0,32871367.75,4,0.890618063861989,0.5227257522846172,10671.671662152019,0.01328456409997976,0.07034854815442003,0.2970364739869167,0.17267425490999772,0.36623462119753786,0.08042153765114796
