행정동_코드,행정동_코드_명,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,2030_유동인구,2030_유동인구비율,새벽_유동인구비중,오전_유동인구비중,점심_유동인구비중,오후_유동인구비중,저녁_유동인구비중,심야_유동인구비중
11215760,중곡3동,4598012.5,568712.0,623033.75,824827.5,680796.5,740440.5,1160201.5,1363848.25,935490.75,468210.25,468315.5,727488.75,634660.0,1447861.25,0.31488849801952473,0.2966169078487716,0.20345546037554268,0.10182883365367101,0.10185172397856683,0.1582180887937995,0.1380292028349205
11215770,중곡4동,6415960.25,885234.5,816900.25,975541.75,948964.25,1039684.5,1749634.0,1899127.5,1330084.0,668246.0,653084.0,993996.25,871422.75,1792442.0,0.2793723667474405,0.29600050904305397,0.2073086409785659,0.10415370014176756,0.10179053088740692,0.15492556238951138,0.13582109552502292
11215780,능동,2089426.0,288928.25,404698.25,430064.5,322961.5,262042.5,380731.25,546664.0,433829.25,240027.0,242417.0,347515.5,278974.0,834762.75,0.39951773836450777,0.26163357783429514,0.20763082779672504,0.11487700449788603,0.11602085931734361,0.16632103745239124,0.1335170520516161
11215810,광장동,6227704.0,1851600.0,620597.0,659006.5,1168114.5,923070.5,1005316.25,1731834.5,1325478.25,707152.0,676877.75,961443.5,824917.25,1279603.5,0.20546954383188412,0.27808555127218637,0.21283578185475738,0.11354939155746645,0.10868816982952305,0.15438169508377406,0.13245928997267692
11215820,자양1동,7714602.0,999837.25,1460763.0,1355534.25,1203945.5,1110033.5,1584488.25,2054707.75,1580762.75,889912.75,891929.0,1274335.0,1022954.5,2816297.25,0.3650606019597641,0.2663400846861575,0.2049052886979782,0.11535433065762822,0.11561568568281293,0.16518480149721268,0.13259977637213172
11215830,자양2동,5148038.75,915770.5,626617.0,871226.75,874988.75,745699.0,1113736.0,1530947.5,1083246.5,535646.0,531040.0,773904.0,693254.0,1497843.75,0.2909542493245607,0.29738461078988576,0.21041925917904172,0.10404855635556357,0.10315384669550128,0.15032987076874665,0.13466371052471196
11215840,자양3동,6585016.25,1266541.75,922873.0,978732.0,1110577.5,935210.5,1371081.0,1795480.25,1346698.25,736768.75,730107.5,1093163.25,882798.0,1901605.0,0.2887775713537533,0.27266147596826357,0.2045094801398554,0.11188563885472567,0.11087406200402315,0.16600767689829163,0.13406162816986214
11215847,자양4동,8723210.25,882117.25,1845009.25,1584318.25,1310500.75,1309504.75,1791760.75,2228415.0,1763580.25,988694.0,1023067.25,1562409.25,1157043.75,3429327.5,0.3931267734834203,0.25545813251491906,0.20217101267277146,0.11334061333670135,0.11728104914128373,0.17910943393803905,0.13263967241876348
11215850,구의1동,6794360.25,873847.75,1316331.5,1336875.25,1064321.0,956523.75,1246461.25,1964747.0,1412150.5,733276.0,711519.5,1053579.25,919088.25,2653206.75,0.39050133528024217,0.289173215388454,0.20784156977840557,0.10792421552860698,0.10472207445873952,0.1550667334720734,0.1352722281689435
11215860,구의2동,4932354.75,886871.25,614903.5,716834.75,817130.5,761850.0,1134764.75,1431063.75,1021106.5,521422.5,517094.0,769367.0,672300.5,1331738.25,0.27000050026815287,0.2901380420781778,0.20702211251127062,0.10571471972894894,0.10483714700367,0.15598371143113743,0.1363041658753357
