행정동_코드,행정동_코드_명,당월_매출_금액,당월_매출_건수,총매출건수,2030_매출건수,피크타임_매출비중,시간대추천,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,2030_매출비율,객단가,새벽_매출비중,오전_매출비중,점심_매출비중,오후_매출비중,저녁_매출비중,심야_매출비중,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,2030_유동인구,2030_유동인구비율,새벽_유동인구비중,오전_유동인구비중,점심_유동인구비중,오후_유동인구비중,저녁_유동인구비중,심야_유동인구비중,업종명,월_유동인구추정,카페전환효율,2030_카페전환효율
11140570,필동,15946275717,2353859,2155369,1220331,0.47253186238872746,11~14,35621,656957,563374,365801,358963,174653,181966611,3611797071,3563220987,2336295049,2281796847,1316734384,54786556,2661729864,7530023265,3336075861,2115018840,248641331,0.5661819391482387,6774.524607038909,0.003435696019076929,0.16691859034911732,0.4722120323664287,0.20920721052398947,0.13263403176612715,0.015592438975260445,2585832.75,187460.0,575805.0,486873.75,461184.75,428470.75,446039.25,345912.25,549517.5,486753.25,475580.25,497522.75,230546.0,1062678.75,0.41096190385863124,0.133772089474851,0.21251084394379335,0.18823848912888894,0.18391763736459754,0.19240329831850106,0.08915735172740774,커피-음료,77574982.5,0.030343016835356684,0.03827845433062438
11140580,장충동,5838059559,286528,268320,150841,0.43682083775165126,11~14,3352,66875,83966,52392,37260,24475,21558570,434735736,582760084,398453336,280645023,263379427,17128,312126269,1031206906,666600851,2400280422,1427827983,0.5621683064997018,20375.179944019434,2.9338515352409064e-06,0.05346404329137472,0.17663521510504002,0.11418192025334217,0.4111435311240887,0.24457235637461916,2064753.0,157129.25,608351.75,370204.5,318339.5,283090.5,327639.0,418295.25,455005.0,331538.5,317259.0,336709.5,205945.75,978556.25,0.47393380709460164,0.2025885178517721,0.22036776311742856,0.16057053797718177,0.15365469864918468,0.16307495375960224,0.09974352864483065,커피-음료,61942590.0,0.004625702606235871,0.0051382159516464515
11140590,광희동,12923918752,1747748,1640007,871295,0.34450043300587513,11~14,14232,341952,529343,314608,261078,178794,140969257,2614058721,3417548861,2307894816,1813948930,1330660678,186882944,1781992175,4431322735,3417762994,2546216409,559741495,0.5312751713864636,7394.612239293079,0.014460238228523336,0.13788326971060796,0.3428776379698491,0.2644525286474039,0.19701581678590857,0.043310508657707164,6546672.0,417483.25,1422682.25,1386013.0,1197897.25,998236.0,1124359.75,963715.25,1345073.5,1135512.0,1150718.25,1281637.0,670015.5,2808695.25,0.4290264198359105,0.14720689382330443,0.20545912488055,0.17344873853463255,0.1757714835873861,0.19576923969919371,0.10234444310025002,커피-음료,196400160.0,0.00889891332064088,0.010340447817066186
11140605,을지로동,21538935623,2588114,2387105,1146421,0.3858957818459581,11~14,11928,440437,705984,576648,457330,194778,116162616,4348799018,5621900998,3848484993,2869889774,1434634726,13284090,3297244893,8306827924,4100617302,4561270340,1259691074,0.4802557910104499,8322.251501672647,0.0006167477461520802,0.15308300051183082,0.3856656647011698,0.19038161280454466,0.21176860453258992,0.05848436970371273,4814080.0,176563.75,776748.25,978324.5,984363.5,905136.5,992943.5,432192.0,1049654.75,1004080.5,995780.25,957915.75,374456.5,1755072.75,0.3645707487204201,0.08977665514490826,0.21803849333621378,0.2085716273929806,0.20684746618253125,0.1989821004220952,0.07778360559026855,커피-음료,144422400.0,0.017920447243640877,0.021773475392021974
11140615,신당동,4066156891,897929,868331,488573,0.24870035064125848,11~14,15107,205051,283522,171955,140196,52500,58627499,819966034,1284311154,765888766,610707385,255539472,375787743,769943833,1011172499,548116552,794812053,566324211,0.5626575580049543,4528.372389130989,0.09241840712830478,0.18935418716975425,0.24868014838240043,0.13479965645526293,0.19547008989230857,0.13927751097196903,5295261.5,299087.5,895013.0,1073153.0,932357.25,902833.75,1192817.0,1248436.75,1072746.75,703353.75,687177.25,906453.75,677094.0,1968166.0,0.37168438234825607,0.23576489093125996,0.2025861706735352,0.13282700958205748,0.12977210851626497,0.17118205588147062,0.1278679060514764,커피-음료,158857845.0,0.005652405771965495,0.00827458998207807
11140625,다산동,1137125614,144092,134085,64116,0.33837715568916865,11~14,936,23715,40401,25259,26449,17325,5680595,147441169,284793643,192533250,222496491,181606721,0,139684341,384195214,293881933,290113827,29250299,0.47817429242644593,7891.66375648891,0.0,0.12283985100699701,0.3378652360564978,0.25844280471902203,0.2551290934160595,0.02572301480142369,4139022.0,471256.5,642358.5,762871.5,716266.0,633980.0,912288.0,966812.5,883747.5,550276.0,542789.25,701417.75,493978.5,1405230.0,0.33950773878466944,0.23358476954217688,0.21351601900159023,0.13294831484345818,0.1311394938224537,0.16946461023884385,0.11934667174999311,커피-음료,124170660.0,0.0011604351623805496,0.0015208898187485322
11140635,약수동,1494037636,183192,178882,89524,0.3925666240100118,11~14,2116,35501,54023,30803,30799,25640,12753365,277575971,440626687,225693405,246438635,235089553,2030616,158139651,585886080,366706726,304058857,77215706,0.5004639930233338,8155.5834097558845,0.0013591464840447967,0.10584716689158424,0.39214947862263894,0.24544677936078446,0.20351485777430575,0.05168257086664181,1913965.5,222806.0,229159.5,334336.25,304851.5,302697.25,520116.25,447984.25,385922.25,238435.25,243220.75,350029.75,248373.0,563495.75,0.2944126997064472,0.23406077591262747,0.2016349040774246,0.12457656629651893,0.12707687259775582,0.18288195372382626,0.1297687967729826,커피-음료,57418965.0,0.0031904441328749135,0.005295751269345569
11140645,청구동,1206004839,138124,133700,71437,0.3555757050789208,11~14,995,25358,46079,26314,23875,11079,4790337,212409127,403871146,230553763,210020344,99074088,0,113712599,427373954,365377619,279575525,19965142,0.5343081525804039,8731.319966117402,0.0,0.09428867556973376,0.3543716742914329,0.30296530095431895,0.2318195714967608,0.01655477768775354,2836370.0,432999.0,331846.25,521082.75,429326.75,438474.5,682641.0,808607.75,596810.25,325554.75,307489.0,428453.5,369454.5,852929.0,0.30071147276272137,0.28508542609039017,0.21041339811096577,0.11477866075300472,0.10840934010724976,0.1510569848080469,0.13025610198951476,커피-음료,85091100.0,0.0016232484948484624,0.0027918306603871286
11140650,신당5동,352382355,45024,43920,24290,0.29933403268040387,17~21,255,12500,11790,6241,5583,7551,1915181,80678491,82429828,44998042,50228434,62572399,175857,47748764,92820358,95224111,99246559,17166706,0.5530510018214936,7826.5448427505335,0.0004990516622207148,0.1355027098334705,0.2634080755831262,0.2702295096472694,0.2816445193460382,0.04871613392787502,3224625.75,322209.0,499566.25,574283.75,492478.0,526976.5,809111.75,716673.5,635340.0,409275.0,423788.75,627885.25,411663.75,1073850.0,0.3330153894603118,0.22225013243784958,0.19702751551866135,0.12692170556536678,0.13142261547716041,0.19471569685257273,0.12766248920514264,커피-음료,96738772.5,0.0004654183512613828,0.0007539848830531887
11140665,동화동,695084390,77880,76107,38347,0.3106562078655478,11~14,422,15307,23040,10991,17247,9100,3035040,146158778,191072535,77941693,138745994,114977265,4435958,74933452,212821650,207786467,182960767,12146096,0.5038564126821449,8925.069209039548,0.006381898462717599,0.10780482640388457,0.30618102357326715,0.2989370355447056,0.26322094069757485,0.017474275317850254,3529982.75,397854.5,438613.25,560285.25,533433.5,631564.25,968233.0,838272.75,707494.0,453354.75,470249.75,631274.5,429337.0,998898.5,0.2829754621322158,0.23747219444627599,0.20042420887184223,0.12842973524445694,0.13321587761299966,0.17883217701276302,0.12162580681166218,커피-음료,105899482.5,0.0007354143586112425,0.0012796428599435611
11140670,황학동,3594417119,608323,579968,262186,0.3280835831487785,11~14,2257,85123,177063,144709,110058,60758,11566914,420462031,932660557,789382480,686601878,427326325,430534,695275747,1175780980,849406522,760433973,113089363,0.4520697693665857,5908.731248037638,0.00011977853035592556,0.19343212654001385,0.3271131148872096,0.236312729958373,0.21155974607965358,0.03146250400439404,5682035.0,587067.5,902185.75,1195089.75,940138.25,780447.0,1277106.0,1525104.0,1183882.5,676573.0,675298.25,909424.25,711753.25,2097275.5,0.36910640289966534,0.2684080615483713,0.2083553691591129,0.1190723042008717,0.11884795676196996,0.16005256039429536,0.1252637919336998,커피-음료,170461050.0,0.003568692085376689,0.004167088841372215
